year,id_,incom16,income,rincome,happy,mntlhlth
2002,2428,FAR BELOW AVERAGE,.d:  Do not Know/Cannot Choose,.r:  Refused,2,2
2002,2442,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,1
2002,2449,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,2466,.i:  Inapplicable,"$25,000 or more",.i:  Inapplicable,1,25
2002,2469,BELOW AVERAGE,"$20,000 to $24,999",$15000 - 19999,3,5
2002,2480,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,15
2002,2484,AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2002,2498,.i:  Inapplicable,"$25,000 or more",.i:  Inapplicable,2,5
2002,2505,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,1,7
2002,2527,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,7
2002,2541,ABOVE AVERAGE,"$15,000 to $19,999",$15000 - 19999,2,3
2002,2544,.i:  Inapplicable,"$25,000 or more",.i:  Inapplicable,2,5
2002,2556,FAR BELOW AVERAGE,.r:  Refused,.r:  Refused,1,4
2002,2557,BELOW AVERAGE,"$15,000 to $19,999",$7000 TO 7999,1,28
2002,2598,FAR BELOW AVERAGE,.r:  Refused,.r:  Refused,2,2
2002,2599,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,1,1
2002,2601,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,2611,AVERAGE,"$25,000 or more",$25000 OR MORE,2,15
2002,2629,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,2644,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,5
2002,2656,FAR ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,2668,AVERAGE,"$1,000 to $2,999",LT $1000,3,1
2002,2690,ABOVE AVERAGE,"$3,000 to $3,999",$3000 TO 3999,2,4
2002,2697,AVERAGE,"$3,000 to $3,999",$3000 TO 3999,2,7
2002,2698,AVERAGE,.d:  Do not Know/Cannot Choose,$25000 OR MORE,3,2
2002,2707,BELOW AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,14
2002,2710,ABOVE AVERAGE,"$25,000 or more",$10000 - 14999,2,15
2002,2722,.i:  Inapplicable,"$8,000 to $9,999",.i:  Inapplicable,2,2
2002,2726,AVERAGE,"$25,000 or more",$25000 OR MORE,2,14
2002,2728,AVERAGE,"$25,000 or more",$10000 - 14999,2,2
2002,2730,AVERAGE,"$25,000 or more",LT $1000,2,1
2002,2743,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2004,4,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,15
2004,7,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2004,14,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,1,5
2004,21,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,2,14
2004,33,AVERAGE,"$15,000 to $19,999",$25000 OR MORE,3,3
2004,37,AVERAGE,"$25,000 or more",$25000 OR MORE,1,5
2004,39,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2004,47,ABOVE AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,3
2004,50,AVERAGE,"$25,000 or more",.i:  Inapplicable,2,1
2004,64,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2004,73,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
